Survey ResponseID,n_orders,tenure_days,recency_days,total_spend,avg_order_value,n_categories,avg_days_between_orders,orders_last_90d,orders_prior_90d,momentum,orders_in_label_window,churn,Q-demos-age,Q-demos-education,Q-demos-income,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft
R_01vNIayewjIIKMF,139,1275,6,4901.06,35.25942446043166,50,9.172661870503598,4.0,19.0,-15.0,1.0,0,35 - 44 years,Bachelor's degree,"$25,000 - $49,999",1 (just me!),1 (just me!),Less than 5 times per month
R_037XK72IZBJyF69,1071,1595,2,15568.11,14.536050420168067,336,1.4892623716153128,38.0,109.0,-71.0,142.0,0,55 - 64 years,Bachelor's degree,"$25,000 - $49,999",1 (just me!),2,Less than 5 times per month
R_038ZU6kfQ5f89fH,69,1261,98,4247.54,61.55855072463768,34,18.27536231884058,0.0,5.0,-5.0,0.0,1,25 - 34 years,High school diploma or GED,"$25,000 - $49,999",1 (just me!),1 (just me!),Less than 5 times per month
R_03aEbghUILs9NxD,158,1600,54,3537.35,22.388291139240504,76,10.126582278481013,5.0,17.0,-12.0,15.0,0,35 - 44 years,Bachelor's degree,"$50,000 - $74,999",1 (just me!),4+,Less than 5 times per month
R_06RZP9pS7kONINr,363,1590,9,9361.67,25.789724517906336,153,4.380165289256198,18.0,44.0,-26.0,67.0,0,65 and older,Bachelor's degree,"$75,000 - $99,999",1 (just me!),2,More than 10 times per month
R_06d9ULxrBmkwSTn,138,1489,30,2972.17,21.53746376811594,53,10.789855072463768,5.0,10.0,-5.0,11.0,0,45 - 54 years,Bachelor's degree,"$100,000 - $149,999",1 (just me!),3,Less than 5 times per month
R_07oHvj3bLVVRCRb,27,1607,219,1973.87,73.10629629629629,16,59.51851851851852,0.0,0.0,0.0,0.0,1,25 - 34 years,High school diploma or GED,"$25,000 - $49,999",1 (just me!),3,Less than 5 times per month
R_085qq7w0pkhowox,251,1117,1,6740.21,26.853426294820718,95,4.450199203187251,34.0,10.0,24.0,38.0,0,25 - 34 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",2,4+,5 - 10 times per month
R_08tF4u5YMrmEJ4l,6,1125,51,84.78999999999999,14.131666666666666,5,187.5,3.0,0.0,3.0,1.0,0,18 - 24 years,High school diploma or GED,"$75,000 - $99,999",1 (just me!),4+,Less than 5 times per month
R_08uYA7fb4unHGkF,73,1107,29,4994.14,68.41287671232877,41,15.164383561643836,6.0,17.0,-11.0,20.0,0,25 - 34 years,High school diploma or GED,"$25,000 - $49,999",1 (just me!),1 (just me!),5 - 10 times per month
R_0AjvU74YOfIrIpX,151,1607,0,2520.1,16.689403973509933,80,10.642384105960264,2.0,11.0,-9.0,7.0,0,55 - 64 years,High school diploma or GED,"Less than $25,000",1 (just me!),1 (just me!),Less than 5 times per month
R_0Arj0ePpTnReV1v,110,1595,2,2303.55,20.941363636363636,67,14.5,3.0,1.0,2.0,29.0,0,35 - 44 years,Bachelor's degree,"$50,000 - $74,999",1 (just me!),2,5 - 10 times per month
R_0BCm9hRP9iTI081,1034,1611,3,25704.3,24.85909090909091,265,1.558027079303675,72.0,59.0,13.0,205.0,0,25 - 34 years,Bachelor's degree,"$100,000 - $149,999",1 (just me!),1 (just me!),5 - 10 times per month
R_0BWkZUjRId7FDZn,215,1610,220,5930.96,27.58586046511628,118,7.488372093023256,0.0,0.0,0.0,0.0,1,35 - 44 years,Bachelor's degree,"$50,000 - $74,999",1 (just me!),4+,Less than 5 times per month
R_0BrMxYYMHVMOBEJ,21,1571,149,574.14,27.34,13,74.80952380952381,0.0,2.0,-2.0,0.0,1,25 - 34 years,Bachelor's degree,"$75,000 - $99,999",1 (just me!),1 (just me!),Less than 5 times per month
R_0D6GtQwa6VcnXpv,322,1607,15,7013.32,21.780496894409936,142,4.990683229813665,17.0,23.0,-6.0,48.0,0,35 - 44 years,High school diploma or GED,"$75,000 - $99,999",2,3,Less than 5 times per month
R_0D6LkYgiPcEN117,41,1435,442,1539.8,37.55609756097561,20,35.0,0.0,0.0,0.0,19.0,0,35 - 44 years,High school diploma or GED,"$25,000 - $49,999",1 (just me!),2,Less than 5 times per month
R_0DoXqOQl0hxEeFH,1025,1598,2,21851.12,21.318165853658535,259,1.5590243902439025,74.0,54.0,20.0,172.0,0,35 - 44 years,High school diploma or GED,"$25,000 - $49,999",2,2,More than 10 times per month
R_0HStFOjenTsm8H7,23,705,11,649.39,28.234347826086957,18,30.652173913043477,1.0,18.0,-17.0,1.0,0,25 - 34 years,High school diploma or GED,"$75,000 - $99,999",1 (just me!),2,Less than 5 times per month
R_0HuDEBXZ3BxNi0h,30,1402,190,507.31,16.910333333333334,23,46.733333333333334,0.0,0.0,0.0,2.0,0,18 - 24 years,High school diploma or GED,"$25,000 - $49,999",1 (just me!),2,Less than 5 times per month
R_0Hzrb8hEmXavTk5,693,1589,3,17461.56,25.19705627705628,256,2.292929292929293,29.0,46.0,-17.0,123.0,0,25 - 34 years,Bachelor's degree,"$150,000 or more",3,2,5 - 10 times per month
R_0IBgnbXoP4Uvvhv,465,1602,11,6121.93,13.165440860215055,154,3.445161290322581,18.0,13.0,5.0,62.0,0,65 and older,High school diploma or GED,"$25,000 - $49,999",1 (just me!),1 (just me!),Less than 5 times per month
R_0IilpPYiU01nCzn,112,1581,5,4387.25,39.171875,74,14.116071428571429,2.0,4.0,-2.0,44.0,0,25 - 34 years,Some high school or less,"$50,000 - $74,999",3,3,5 - 10 times per month
