Shipping Address State,n_purchases,total_spend,avg_price
CA,178585,4334373.27,23.058330598874488
TX,136003,3257848.29,22.806886980434253
FL,110722,2678945.87,23.065897292317693
NY,103824,2363837.12,21.748071833102173
PA,97139,2203694.67,21.590229156157672
OH,86591,1964389.96,21.426840318277883
IL,71599,1739536.84,23.0920204192796
NC,71474,1690434.26,22.65771483336598
MI,60512,1408007.75,22.22683186805923
GA,53001,1232325.29,22.18028395690647
VA,50671,1201340.23,22.706619368080364
WA,53361,1178038.07,21.12728340923146
MA,44503,1089214.66,22.77621800777476
NJ,46026,1072696.19,22.24571524790336
IN,43702,994512.4,21.7965653745824
WI,37382,918564.47,23.19678160612059
OR,36433,882845.85,22.82880602750254
TN,34822,825121.15,22.604285509160878
MD,33632,786705.98,22.55093303996194
AZ,33400,760684.26,21.68749401197605
CO,29259,729698.5,23.825946546361802
KY,27309,689299.05,23.852748544435897
MN,29339,669201.12,21.82436586114046
NV,21047,484311.4,21.995391267163967
LA,20334,461450.35,21.852850398347595
SC,19565,448887.88,22.221684129823664
AL,18240,448395.86,23.50813541666667
OK,17251,419514.09,23.05711842791722
CT,17211,418267.76,23.024436697460928
MO,18330,417657.53,22.120570649208947
KS,15078,344024.02999999997,21.979719458814166
UT,13724,341858.07,23.83704386476246
AR,14538,338974.18,22.20093410372816
NE,12516,329886.19,25.176190476190477
MS,11731,304088.98,24.018873071349418
NH,11064,278551.53,23.362516268980478
IA,11246,265536.97,22.79406188867153
WV,11108,212402.31,18.411917536910334
NM,8522,207851.07,23.20559962450129
DE,7525,206088.93,24.04981129568106
ME,6481,193891.79,28.85029933652214
ID,6324,165394.91,24.712814674256798
DC,8482,164915.57,18.7609160575336
HI,5073,152453.53,27.75190222747881
RI,5474,128054.54,22.793235294117647
MT,2768,81855.19,27.922453034682082
VT,3754,81358.09,20.856595631326584
SD,2500,68440.67,26.276432
AK,1821,48546.42,25.116084568918176
WY,844,27369.46,30.879869668246446
ND,1029,23252.28,22.057968901846454
PR,36,1038.43,28.84527777777778
